Legend.ID	Genome.ID	Coverage
B1	Bacteroides_dorei_CL02T12C06_supercont1.1	0.181809090909091
B2	Bacteroides_ovatus_str._3725_D1_iv_gbf3725D1iv.contig.0	0.0488218181818182
B3	Bacteroides_ovatus_strain_2789STDY5834943	0.0308145454545455
B4	Bacteroides_caccae_CL03T12C61_supercont1.1	0.0684072727272727
B5	Bacteroides_caccae_strain_2789STDY5834946	0.08832
B6	Bacteroides_thetaiotaomicron_isolate_3731	0.0769818181818182
B7	Bacteroides_vulgatus.1cell.HGAP3_contig1	0.233507272727273
B8	Bacteroides_thetaiotaomicron_strain_2789STDY5834899	0.0459981818181818
B9	Bacteroides_xylanisolvens_CL03T12C04_supercont1.1	0.0449181818181818
B10	Bacteroides_eggerthii_1_2_48FAA_supercont1.1	0.03004
B11	Bacteroides_vulgatus_str._3775_SL{B}_10_{iv}_gbf3775SLB10iv.contig.0	0.111829090909091
B12	Bacteroides_massiliensis_B84634_=_Timone_84634_=_DSM_17679_=_JCM_13223_strain_DSM_17679_aczJl-supercont1.1	0.0811618181818182
B13	Bacteroides_stercoris_ATCC_43183_Scfld_02_16	0.114121818181818
B14	Bacteroides_finegoldii_DSM_17565_Scfld32	0.0864381818181818
B15	Bacteroides_uniformis_str._3978_T3_i_gbf3978T3i.contig.0	0.228129090909091
B16	Bacteroides_intestinalis_strain_KLE1704_Scaffold2	0.0404218181818182
B17	Bacteroides_salyersiae_CL02T12C01_supercont1.1	0.00802727272727273
P1	Prevotella_stercorea_DSM_18206_Scfld0	0.117694545454545
B18	Bacteroides_intestinalis_DSM_17393_B_intestinalis-2.0.1_Cont607	0.0220981818181818
B19	Bacteroides_fragilis_HMW_610_supercont1.1	0.0106781818181818
B20	Bacteroides}_pectinophilus_ATCC_43243_Scfld_02_8	0.0162727272727273
B21	Bacteroides_fragilis_strain_320_BFRA_103_11900_301631	0.0354763636363636
B22	Bacteroides_fragilis_strain_321_BFRA_102_458_6180	0.0166836363636364
P2	Prevotella_copri_strain_Indica_contig00001	0.241049090909091
P3	Prevotella_copri_DSM_18205_Scfld26	0.258447272727273
P4	Prevotellamassilia_timonensis_strain_Marseille-P2831	0.0830454545454545
