Genome.ID	Sample.ID	Coverage	Genus
688	NZ_GG688349.1_Bacteroides_finegoldii_DSM_17565_Scfld32-_whole_genome_shotgun_sequence	CS.079	0.5163	Bacteroides
5529	NZ_JNHO01000001.1_Bacteroides_uniformis_str._3978_T3_i_gbf3978T3i.contig.0-_whole_genome_shotgun_sequence	CS.165	0.5555	Bacteroides
7688	NZ_JH724132.1_Bacteroides_dorei_CL02T12C06_supercont1.1-_whole_genome_shotgun_sequence	CS.166	0.6377	Bacteroides
7735	NZ_JNHO01000001.1_Bacteroides_uniformis_str._3978_T3_i_gbf3978T3i.contig.0-_whole_genome_shotgun_sequence	CS.166	0.5577	Bacteroides
9304	NZ_JH724132.1_Bacteroides_dorei_CL02T12C06_supercont1.1-_whole_genome_shotgun_sequence	CS.177	0.5871	Bacteroides
11973	NZ_CZBL01000001.1_Bacteroides_caccae_strain_2789STDY5834946-_whole_genome_shotgun_sequence	CS.181	0.5931	Bacteroides
12301	NZ_JH724132.1_Bacteroides_dorei_CL02T12C06_supercont1.1-_whole_genome_shotgun_sequence	CS.181	0.5916	Bacteroides
13712	NZ_GG688349.1_Bacteroides_finegoldii_DSM_17565_Scfld32-_whole_genome_shotgun_sequence	CS.222	0.7842	Bacteroides
13943	NZ_JNHO01000001.1_Bacteroides_uniformis_str._3978_T3_i_gbf3978T3i.contig.0-_whole_genome_shotgun_sequence	CS.222	0.5554	Bacteroides
14838	NZ_PUEN01000001.1_Bacteroides_vulgatus_strain_ATCC_8492_Bacteroides_vulgatus.1cell.HGAP3_contig1-_whole_genome_shotgun_sequence	CS.222	0.602	Bacteroides
17011	NZ_CZBL01000001.1_Bacteroides_caccae_strain_2789STDY5834946-_whole_genome_shotgun_sequence	CS.249	0.5473	Bacteroides
18935	NZ_GG688349.1_Bacteroides_finegoldii_DSM_17565_Scfld32-_whole_genome_shotgun_sequence	CS.255	0.5485	Bacteroides
19360	NZ_KB905472.1_Bacteroides_massiliensis_B84634_=_Timone_84634_=_DSM_17679_=_JCM_13223_strain_DSM_17679_aczJl-supercont1.1-_whole_genome_shotgun_sequence	CS.255	0.7003	Bacteroides
21425	NZ_PUEN01000001.1_Bacteroides_vulgatus_strain_ATCC_8492_Bacteroides_vulgatus.1cell.HGAP3_contig1-_whole_genome_shotgun_sequence	CS.256	0.5902	Bacteroides
22949	NZ_PUEN01000001.1_Bacteroides_vulgatus_strain_ATCC_8492_Bacteroides_vulgatus.1cell.HGAP3_contig1-_whole_genome_shotgun_sequence	CS.262	0.6211	Bacteroides
23877	NZ_JH724079.1_Bacteroides_caccae_CL03T12C61_supercont1.1-_whole_genome_shotgun_sequence	CS.268	0.6632	Bacteroides
